model_name,model_rank,accuracy,macro_f1,weighted_f1
random_forest,1,0.88,0.7967479674796748,0.864390243902439
gradient_boosting,2,0.76,0.6710526315789473,0.76
svm_rbf,3,0.72,0.6361746361746362,0.7269854469854471
logistic_regression,0,0.68,0.6031746031746031,0.6939682539682539
