,vote_01,vote_02,vote_03,vote_04,vote_05,vote_06,vote_07,vote_08,vote_09,vote_10,buy_factor_01,buy_factor_02,buy_factor_03,buy_factor_04,buy_factor_05,packaging_effect_01,packaging_importance_01,packaging_importance_02,packaging_importance_03,packaging_importance_04,packaging_importance_05,packaging_importance_06,packaging_importance_07,packaging_importance_08,option_01_attribute_01_ips,option_01_attribute_02_ips,option_01_attribute_03_ips,option_01_attribute_04_ips,option_01_attribute_05_ips,option_02_attribute_01_ips,option_02_attribute_02_ips,option_02_attribute_03_ips,option_02_attribute_04_ips,option_02_attribute_05_ips,option_03_attribute_01_ips,option_03_attribute_02_ips,option_03_attribute_03_ips,option_03_attribute_04_ips,option_03_attribute_05_ips,option_04_attribute_01_ips,option_04_attribute_02_ips,option_04_attribute_03_ips,option_04_attribute_04_ips,option_04_attribute_05_ips,option_05_attribute_01_ips,option_05_attribute_02_ips,option_05_attribute_03_ips,option_05_attribute_04_ips,option_05_attribute_05_ips,option_06_attribute_01_ips,option_06_attribute_02_ips,option_06_attribute_03_ips,option_06_attribute_04_ips,option_06_attribute_05_ips,option_07_attribute_01_ips,option_07_attribute_02_ips,option_07_attribute_03_ips,option_07_attribute_04_ips,option_07_attribute_05_ips,option_08_attribute_01_ips,option_08_attribute_02_ips,option_08_attribute_03_ips,option_08_attribute_04_ips,option_08_attribute_05_ips,option_09_attribute_01_ips,option_09_attribute_02_ips,option_09_attribute_03_ips,option_09_attribute_04_ips,option_09_attribute_05_ips,option_10_attribute_01_ips,option_10_attribute_02_ips,option_10_attribute_03_ips,option_10_attribute_04_ips,option_10_attribute_05_ips,age_20-29ปี,age_30-39ปี,age_40-49ปี,age_50ปี ขึ้นไป,gender_ชาย,gender_หญิง,gender_อื่นๆ,marital_มีแฟนแต่ยังไม่แต่งงาน,marital_หย่าร้าง/เป็นม่าย,marital_แต่งงานแล้ว,marital_โสด ไม่มีแฟน
vote_01,1.0,-0.0639721511230615,-0.348928081021835,-0.20008351414508938,-0.06241689853037623,-0.29645749583309006,-0.21642611522330896,-0.022567908155103622,-0.10061733066247829,-0.17932964794290207,0.16726300842007366,0.07754094026036859,0.13457699647186752,0.1459291274609846,-0.022856406174890365,0.019098298328857864,0.09837767146149419,0.11020584868126407,0.04259438292167705,0.08212290692368521,0.20598456299502696,0.0964668438981972,0.05862231211369786,-0.009388200994379947,0.3907554099563129,0.20540558803788173,0.4871401502800241,0.5298668224976212,0.49905730692704336,0.11498744122756274,-0.03706369188590021,0.18135579003349894,0.13108503742833158,0.10109661899453966,-0.08263893434705705,-0.1085038577785003,-0.003745248676172138,0.011029062851245448,-0.07387528270739624,-0.0368454519296767,-0.10384583351412338,0.17873490812095066,0.05512449116883018,0.049871852619535154,0.013499627608238586,-0.15270240699711746,-0.020547731143333452,0.03312172197262895,0.01602038295167268,-0.10759323250481173,-0.16763281747552708,-0.12772775437366157,-0.12166732330643662,-0.1416611823119049,-0.18199608077529267,-0.20366089222947967,-0.12673179494331258,-0.1285525242507398,-0.13811434941990616,-0.1166398745836481,-0.19324889670227707,-0.07666009874152074,-0.12931713811496257,-0.08625293929394368,0.16908347243496935,0.05094689940080547,0.10537348365074413,0.048286838752492206,0.11059047826014885,-0.10402030923140765,-0.1623194505102704,-0.10795952806526136,-0.19522986309019275,-0.09668790793476152,-0.11950132867876039,-0.028807508394606253,0.002706059190792004,0.23283219788649243,-0.0359080210397872,0.044241295420117566,-0.024294509131802436,-0.09280323373346187,-0.0025778676037072593,0.21326623826145208,-0.10858160259244373
vote_02,-0.0639721511230615,1.0,-0.29390277854149666,-0.21889706203777742,-0.10163984580735357,-0.24763800750280437,-0.1876850786125553,-0.3044891464388791,0.03223075888771891,-0.1801774699105213,-0.11399026246152072,0.08366921433633984,-0.0046048528212873415,0.05074387228718407,0.04412206126291917,-0.02526000984016817,-0.02598780074961091,0.03172887322780946,-0.038051961359044026,-0.062130443609672396,-0.06296999894588637,0.020222244269181986,-0.13547597748005416,0.03967778621215313,0.18014283956785504,0.01655049853429178,0.21047291317052494,0.09865280310544883,0.2658418467499307,0.4707147488219876,0.31565709807209563,0.4352101162986991,0.4094402012721455,0.5315520790135829,0.015471529572877573,0.006722977061159014,-0.05728044842444295,0.03389391768617368,0.02745719899456302,-0.06058936061932924,-0.08185137632772907,-0.06496841576733371,-0.08050293940041199,-0.06920491536715506,-0.018542624867022104,-0.06600196768904261,-0.08788624104640508,-0.11795047390104853,-0.014690863803592183,-0.2123632879020193,-0.11856539655910053,-0.05937523211002035,-0.11318231174406716,-0.14643313899160004,-0.07465378739439585,-0.08278370278798679,0.029652165251286267,-0.008747385094767579,-0.007491971392694266,-0.17642273805447684,-0.21965941794296395,-0.12789663509565125,-0.14222350783678414,-0.1891420285931044,0.026164003126808038,0.03619346763602088,0.058416379200939124,0.0021692924950682886,0.1201062361757198,-0.19996561055610745,-0.09802930575440132,-0.18860374047828188,-0.12714438887717733,-0.212439532432093,-0.06664487573974404,0.03325216868134103,0.03762051714270713,-0.0009501597225062847,0.13758649088471045,-0.10080847299380359,-0.07579948371584767,-0.028513907226423708,0.040296715968614234,-0.02467149387768346,0.03786074033331229
vote_03,-0.348928081021835,-0.29390277854149666,1.0,0.32258499487660197,-0.140461180062621,-0.07895835314914162,-0.4036833523988736,-0.1737001976640117,-0.15204207354469246,-0.035609527358397314,-0.022796359021249706,-0.06807432782946711,-0.0961241232379057,-0.20036255322505758,-0.019714395001801315,0.0011540313019507027,0.032043719055945635,0.01586554256932918,0.11367628447052884,-0.05987173005445902,-0.07153334094404872,-0.07320423409348198,0.023449810620071232,0.042163038309707676,-0.25160288015734383,-0.12261467924444583,-0.17214919902909923,-0.23214575850607003,-0.2188679340057471,-0.038362541711320135,-0.05169058232580018,-0.18635611973684404,-0.07015898125106529,-0.15137817486612426,0.38445672845581064,0.300420059108856,0.3279273487431909,0.2640845362152144,0.45922489834537655,0.2859563919713864,0.26214569853857267,0.19539140418956086,0.22490769526997784,0.31017147704714115,-0.03970894271302874,0.11461529537207621,0.005445977443514178,0.008215464686455747,-0.0538146307325863,-0.04896676769550983,0.015558570335323922,-0.06789273414246659,-0.00949863135316563,-0.02186323570002578,-0.21726360925981886,-0.06478527469239848,-0.13155240112993075,-0.18530326495531765,-0.17744459998536363,-0.006726470297726693,0.029519748355276026,-0.10299058184904433,-0.07717057953425195,-0.002297060354150307,-0.15503798098967134,-0.04391947342107257,-0.18074396892182149,-0.04198210679959165,-0.21345623055595933,-0.012871107589062958,0.0090947708661424,-0.014937536085984113,0.015438734855903262,-0.010557618974738394,0.1477343107847134,0.05268916801338519,-0.13584253743830876,-0.14177843157363432,-0.1053994689606615,0.15490081207958215,-0.13286251666869417,0.08160206174677748,-0.1250313016132614,-0.15724508393727066,0.11012129122676236
vote_04,-0.20008351414508938,-0.21889706203777742,0.32258499487660197,1.0,-0.10014538780702385,-0.2721950950762037,-0.17438463287625297,-0.10729774869205144,-0.1928947531359736,-0.1181557538526637,0.0009174455641910274,-0.07521805681502221,-0.015559102193895285,-0.09815692946720923,0.008147658482143577,-0.04415304626617823,-0.04603047531933141,0.06559873194860506,0.010436025186133012,0.031448451649286745,-0.1446004109790878,-0.02066180998037408,0.06367111458124809,0.06705241753010559,-0.1610979267236625,0.009708686242488922,-0.12310414017415812,-0.18675882316354311,-0.17069749032106826,0.0031462089242949944,0.005368486050544621,-0.13942737592271157,0.04858451987221684,-0.07181841715270529,0.19764535557962576,0.17821136431786933,0.161051659306779,0.0776962288777245,0.21369125169286776,0.5280795561528507,0.3685056880387225,0.3478882212761142,0.40679064518002783,0.42645235070538684,0.04623285407256672,0.15910671817035404,0.036112524241308785,0.04162197590571522,0.054855621793566296,-0.15416316751333559,-0.05530106696111453,-0.14128808178552957,-0.07806143739495976,-0.15551369338173307,-0.12655343585810153,-0.09312088132402616,-0.18186442304219233,-0.20554990823598016,-0.19756324944416434,0.0937501509414706,0.11123785424659115,0.03239225870632501,0.0196845675027586,0.05537287327368144,-0.12105043623705589,-0.11194831687260917,-0.15203833700175062,-0.08118608528986353,-0.1438900519247197,-0.16103494937987536,-0.13793070738062976,-0.19962765386792047,-0.13751363203482223,-0.12393902959402266,0.151221774378737,-0.04211446027771241,-0.05204798511663288,-0.09801121800127502,-0.17858892201144466,0.21410593435882141,-0.10625622613316166,0.10648668450976236,-0.09470788831585743,-0.13526164619165434,0.05440628026157342
vote_05,-0.06241689853037623,-0.10163984580735357,-0.140461180062621,-0.10014538780702385,1.0,-0.18483584237595305,-0.017050596611873272,-0.11151565764099647,-0.0006546204336668049,-0.1321473663924043,0.029647824286554672,-0.01268893177807295,0.014073870893548644,-0.0044679972621121875,-0.04278127063963843,0.003887714879840845,0.11975165914886049,0.09705698158442648,0.14838013402750638,0.061665858630792575,0.008116964090441466,0.04009956708053032,-0.12388945011445698,0.04571139041468303,-0.0400584303164854,-0.049823701426127555,-0.07725476914567435,-0.15121003514637463,-0.17940907287345204,-0.02216674725648415,-0.05843114453222232,0.016635747629976053,-0.009594328839311389,0.05931708781053481,-0.10665836055912209,0.05634469857279901,-0.12469213588449062,-0.04465210218783321,-0.08518193059944187,-0.13023105507787916,-0.03545641640933373,-0.0914935541837953,-0.04976462563133744,-0.08355274924329996,0.3999632153286002,0.259891131677941,0.3251819839323983,0.3363426325050607,0.3847259203631991,-0.0037070494751967344,-0.009616797585264899,-0.06494770932362902,-0.004948697840665812,0.00484822696068352,0.06156144512225817,-0.0037897602193870893,0.06936335632559519,0.1327217265937389,0.0371100184725117,-0.11986027780367668,-0.07499475563265838,-0.11391417410939411,-0.0317164142287805,-0.09693348215263682,0.048471545385835965,-0.021054791477546405,0.07123197697422094,0.0642597676781262,0.033925463223514425,-0.05799674313126352,-0.062092033002983535,-0.038249517914660115,-0.03953805320971722,-0.051311034589749165,0.024248522707076687,-0.036125196898596876,0.04446996340212631,-0.035896485927716784,0.06152885489823628,-0.022326248721152193,-0.08983137003030817,0.044671788138351445,-0.08006814913065784,0.007592744152784272,-0.024230765426881743
vote_06,-0.29645749583309006,-0.24763800750280437,-0.07895835314914162,-0.2721950950762037,-0.18483584237595305,1.0,0.22679611455650606,0.09564472500597651,-0.10711132484455463,0.054827557914447746,-0.0038010738673823945,-0.016765246862907947,0.02776867849352435,-0.03340853091302128,-0.04936904153552287,0.006362808134020792,-0.08998098844208702,0.0015151636214432663,-0.07605374977136037,-0.01818059394061688,0.06053076091879904,-0.028278195405554506,0.08657924997263776,0.018041964412625063,-0.18445574433523093,-0.07910879497353317,-0.2793890172099772,-0.13787214230565284,-0.22164670961881322,-0.42711944773713334,-0.13804817464133207,-0.16794648066359258,-0.24846364029551188,-0.26217789966658145,-0.014798487545613574,-0.054118681214811996,-0.017784498543772755,-0.06117681701485591,-0.0413886450730272,-0.23221849827627158,-0.06029642139937549,-0.23437223843828595,-0.23362230839923082,-0.27225488144920185,-0.12220258650513309,-0.1529103109671917,-0.15059745450942194,-0.09785085844980386,-0.030947871043468328,0.5263341432616104,0.38254479232809846,0.4357171240059136,0.3916663280192408,0.5372674143429129,0.14387633851006687,0.1699394097608176,0.1360905123802784,0.12257881451786062,0.24870247745697324,0.02516916813269497,0.08231235307000974,-0.019510715667549576,-0.005925174634190126,0.08567096252739352,-0.14073050015732272,-0.0494415115892873,-0.01380634668009317,-0.06331437134567236,-0.04198214531612742,0.16493576387003095,0.10886571704813809,0.15437410032028917,0.16110951042967314,0.18141139829219516,-0.12978075491781685,0.1323807504852249,-0.017445057922942438,0.0038368897088446982,0.07178915520988932,-0.10745899864231266,0.09529701309104799,0.012661828316140997,0.050779207309523774,0.022831244971843676,-0.05135449815389989
vote_07,-0.21642611522330896,-0.1876850786125553,-0.4036833523988736,-0.17438463287625297,-0.017050596611873272,0.22679611455650606,1.0,0.17853769039246672,0.07586677257953241,0.16853428434222303,-0.01627873220952931,-0.03690460705497345,-0.08628587198625315,0.06250963128394157,-0.00013158522948292152,0.07068740014571949,0.037062976710330785,-0.12958194040687335,-0.0879532579004365,0.08063318884742388,-0.006753359876124757,-0.009238328169078323,-0.01214967445003798,-0.1898872946940289,-0.05760287752712044,-0.06406784607902179,-0.16936777356633984,-0.06077113705315709,-0.16199955941867875,-0.19312412863148704,-0.07261459309047073,-0.2339321338546923,-0.29428994065682773,-0.24093845550646278,-0.2735348728563031,-0.18323815665993104,-0.14070543137722996,-0.19838032762696062,-0.32340364207102407,-0.14046450039837463,-0.1357026607691872,-0.17708480940427934,-0.1473633112733945,-0.18091230237256015,-0.038370805406717966,0.012007561031550417,-0.008998010664497104,-0.05020412469365987,-0.08621707022397186,0.08206363018409192,0.018623338765666228,0.03297139005329854,-0.03943196475245349,0.006635847795365496,0.5260745626981806,0.39758707870066157,0.36519195195975984,0.3505250359535241,0.4458596819644116,0.23096330448507327,0.25819216922195826,0.26733607820066846,0.2523084885796436,0.1854371116686825,0.05363942112034738,-0.032289513375225426,0.0013770049420009753,-0.04893032927980257,0.08698104015589407,0.05923436364063379,0.09415403503449402,0.06581282991930579,0.0037291488069007496,0.059576722795602534,0.01750801893284829,-0.011355570373869008,-0.0009066913522187535,-0.007179081343069528,0.06894666496261379,-0.13929860982843204,0.1802453080495244,-0.041953062344358985,0.011516526918059345,0.043495516260856154,-0.003422973472386947
vote_08,-0.022567908155103622,-0.3044891464388791,-0.1737001976640117,-0.10729774869205144,-0.11151565764099647,0.09564472500597651,0.17853769039246672,1.0,-0.06451677726401872,0.18518162499809182,-0.11724906268839343,0.0232048913477684,0.033958265685947585,0.06649601533687242,0.043900644725023454,-0.019901573485839624,-0.18020446828754227,-0.13086635126308566,-0.1452275640491195,-0.062075084000757216,-0.05345638527304253,-0.0923858367699475,0.010452019982729956,-0.05310151106747829,0.02669364617705366,0.07801700358146438,-0.06168801879662811,0.03606447701190104,-0.13525848696551349,-0.21082979596155754,-0.04185888575950656,-0.10074124053770606,-0.23743394867138323,-0.2327359603873812,-0.09881625730424858,-0.07815181637678452,-0.1725462415880262,-0.12347530924972433,-0.2131914000273719,-0.03968906776095922,-0.08003693582712545,-0.12636499904460582,-0.05408401371992275,-0.11448720115469233,-0.04072725390841883,-0.0729189012057837,-0.0201690321008276,-0.007126322098942009,-0.09646682156962962,-0.003822925694346165,0.016412681939664945,-0.023421096852802727,-0.05698303662534958,-0.1280044274133672,0.033143596693645784,0.013106035403686796,-0.1375878068013687,0.04521535271024327,-0.07856624668736648,0.4732639784366111,0.39038063365416664,0.4101178482815373,0.3673825211228349,0.44051034289952246,-0.061509395129140235,-0.04975482670765482,-0.07153595027431055,-0.02925499043626753,-0.043475315234954647,0.16358831259448856,0.12292695661837179,0.0890916724685408,0.13118202831594267,0.13137881031299894,0.07965411009677235,-0.1298816307539822,0.019145474870301434,0.06849700930150511,-0.05374892127815007,-0.04291847796608557,0.2319077998749676,0.06322684980115367,0.2067031628114639,-0.1093381881992176,-0.02959983969961261
vote_09,-0.10061733066247829,0.03223075888771891,-0.15204207354469246,-0.1928947531359736,-0.0006546204336668049,-0.10711132484455463,0.07586677257953241,-0.06451677726401872,1.0,0.20315245147624283,-0.06321828301709717,-0.024763141110353683,-0.013417262303468423,0.025273302374512523,0.02294888641386891,-0.0019368593077501487,-0.06728242203404415,-0.16921674677763712,-0.04871685743534547,-0.03541908098699285,-0.002209409977959557,0.024255877915332923,0.016984335135706338,0.004770856192866643,-0.10895157557806007,-0.11062959355489688,-0.05608136138220932,-0.08449835809853844,0.05294085944664372,0.06912715813645506,-0.05142111380764517,0.026750832088437777,0.13432903047698744,0.0884468750976796,-0.27324967527788985,-0.3159615101075311,-0.20162933603211297,-0.21614377978480995,-0.3076911423219367,-0.32677716836172976,-0.33251969457420805,-0.22003042778326323,-0.24840452711019134,-0.25252770035516753,-0.045870051714431,-0.04203500945678798,0.05929878751120887,-0.013133126877238856,-0.07584729112025144,0.019565943964137526,-0.057448930148218544,0.08037783331709847,0.042234688200106396,0.06403941794463312,0.15984744094435444,-0.006171227916019683,0.14452609743501246,0.09551557610413561,0.07807893546384116,-0.12772627610372894,-0.17208025535621974,0.05243134390633985,0.08036350808170721,-0.14803295020253313,0.31548043525073793,0.1868910927345283,0.3087258387254614,0.2983906999027146,0.1958362018729342,0.2980539915247212,0.2020201894396022,0.34837112047435725,0.2750902566466499,0.21823917312773783,-0.039409358414681725,-0.13096245606085974,0.2745638255382923,-0.07959441989840971,-0.04885981519629916,-0.023717159198851184,0.17321147555504002,-0.1623089127133378,0.11741343949579622,0.11097382974642082,0.016123061360293456
vote_10,-0.17932964794290207,-0.1801774699105213,-0.035609527358397314,-0.1181557538526637,-0.1321473663924043,0.054827557914447746,0.16853428434222303,0.18518162499809182,0.20315245147624283,1.0,0.13656623953773428,-0.03452121962234536,-0.059305489574241727,0.038650089331034684,0.11031685094478855,-0.030451031331471427,-0.003995582429481147,-0.25510578378885856,-0.07987986504645792,-0.05539075243139745,-0.02834978250086002,0.000701436276758057,0.08208069662571375,-0.07251481618401452,-0.03251294606453069,0.08430200373354371,-0.22067090902718173,-0.18882642847122794,-0.16775548399203413,-0.15584902758450783,-0.06588851564774299,-0.2500677599124693,-0.3256044511502696,-0.2804927818951772,-0.2020698293190409,-0.15281091234588326,-0.1582017359954957,-0.1175397270432724,-0.2231531536365951,-0.15877287274909427,0.00562852714045699,-0.20675913459528011,-0.16515334336103232,-0.18268141315736128,-0.29138476737374125,0.035533364478716786,-0.02027391276746473,-0.14361709508891723,-0.270129602930663,0.07388596967718139,0.11025040006596332,0.0636470258595054,0.1444572410497166,0.12065505053771826,0.06824990280829722,0.16205035630210832,-0.062043752075812246,0.04529665807915097,-0.11172479826003312,-0.002000705485817641,0.15234550315841525,0.05565615745832261,0.09037887152027821,-0.03630441325692736,-0.03811404638192808,0.19366265911324998,-0.018252018254384095,-0.04619579477502308,-0.10351595942771695,0.47150802108806117,0.4493407585985394,0.5691105728225594,0.562401310646105,0.4901173049136553,0.009790782772553937,0.0016597188421039826,0.02791777921957783,-0.05502929318980876,0.07162422957286924,-0.08481946972989425,0.04003604724516729,-0.01789048004332149,0.06059678724350824,0.027245405498950236,-0.02858847939115443
